"formula","site","depth","Suction_kPa"
"C11H15O4N1S1","GS","60-90",1.5
"C15H14S2","GS","0-30",50
"C15H14S2","PT","0-30",15
"C15H14S2","PT","180-210",50
"C15H14S2","PT","180-210",3
"C11H14O5S1","GS","30-60",3
"C11H14O5S1","PT","150-180",1.5
"C11H14O5S1","GS","0-30",1.5
"C11H14O5S1","PT","120-150",1.5
"C11H14O5S1","GS","60-90",1.5
"C11H14O5S1","PT","180-210",1.5
"C11H14O5S1","PT","90-120",15
"C11H14O5S1","PT","60-90",3
"C11H14O5S1","PT","60-90",1.5
"C11H14O5S1","PT","0-30",1.5
"C11H14O5S1","PT","150-180",15
"C11H14O5S1","PT","0-30",3
"C11H14O5S1","PT","90-120",3
"C11H14O5S1","PT","30-60",50
"C11H14O5S1","DMT","30-60",3
"C11H14O5S1","PT","30-60",1.5
"C11H14O5S1","PT","120-150",15
"C11H14O5S1","PT","30-60",3
"C11H14O5S1","PT","120-150",50
"C11H14O5S1","PT","0-30",50
"C11H14O5S1","PT","60-90",50
"C11H14O5S1","DMT","0-30",1.5
"C11H14O5S1","GS","60-90",3
"C11H14O5S1","PT","210-240",1.5
"C11H14O5S1","PT","60-90",15
"C11H14O5S1","GS","0-30",3
"C11H14O5S1","PT","150-180",3
"C11H14O5S1","PT","180-210",3
"C11H14O5S1","PT","90-120",50
"C11H14O5S1","GS","30-60",1.5
"C11H14O5S1","DMT","30-60",50
"C11H14O5S1","DMT","30-60",1.5
"C11H14O5S1","PT","210-240",3
"C11H14O5S1","PT","0-30",15
"C11H14O5S1","PT","150-180",50
"C11H14O5S1","PT","180-210",50
"C11H14O5S1","GS","30-60",15
"C11H14O5S1","PT","210-240",50
"C11H14O5S1","DMT","0-30",15
"C11H14O5S1","GS","30-60",50
"C11H14O5S1","DMT","0-30",3
"C11H14O5S1","PT","30-60",15
"C11H14O5S1","PT","180-210",15
"C11H14O5S1","DMT","60-90",1.5
"C11H14O5S1","PT","90-120",1.5
"C11H14O5S1","DMT","30-60",15
"C12H10O3N4","PT","60-90",50
"C12H10O3N4","PT","210-240",1.5
"C12H10O3N4","DMT","30-60",50
"C12H10O3N4","PT","0-30",15
"C12H10O3N4","PT","180-210",50
"C8H13O3N5P1","PT","0-30",50
"C8H13O3N5P1","PT","210-240",1.5
"C8H13O3N5P1","GS","30-60",15
"C12H18O6","PT","180-210",1.5
"C17H22O2","PT","180-210",1.5
"C17H22O2","DMT","30-60",3
"C17H22O2","PT","210-240",1.5
"C14H26O4","PT","210-240",1.5
"C11H16O3S1P1","PT","0-30",15
"C11H16O3S1P1","GS","30-60",50
"C11H16O3S1P1","PT","180-210",50
"C12H9O4N3","GS","60-90",3
"C12H9O4N3","PT","0-30",50
"C12H9O4N3","DMT","0-30",15
"C12H9O4N3","GS","30-60",50
"C12H9O4N3","DMT","0-30",3
"C12H9O4N3","PT","180-210",15
"C12H9O4N3","DMT","30-60",15
"C8H12O4N4P1","GS","30-60",3
"C8H12O4N4P1","GS","0-30",1.5
"C8H12O4N4P1","PT","120-150",1.5
"C8H12O4N4P1","PT","60-90",3
"C8H12O4N4P1","PT","60-90",1.5
"C8H12O4N4P1","PT","0-30",1.5
"C8H12O4N4P1","PT","0-30",3
"C8H12O4N4P1","PT","30-60",50
"C8H12O4N4P1","PT","0-30",50
"C8H12O4N4P1","PT","210-240",1.5
"C8H12O4N4P1","GS","0-30",3
"C8H12O4N4P1","PT","180-210",3
"C8H12O4N4P1","PT","60-90",15
"C8H12O4N4P1","GS","30-60",1.5
"C8H12O4N4P1","DMT","30-60",50
"C8H12O4N4P1","DMT","30-60",1.5
"C8H12O4N4P1","PT","150-180",50
"C8H12O4N4P1","PT","120-150",15
"C8H12O4N4P1","GS","30-60",15
"C8H12O4N4P1","PT","210-240",50
"C8H12O4N4P1","GS","30-60",50
"C8H12O4N4P1","PT","180-210",50
"C8H12O4N4P1","PT","30-60",15
"C8H12O4N4P1","PT","0-30",15
"C8H12O4N4P1","DMT","60-90",1.5
"C8H12O4N4P1","DMT","30-60",15
"C10H9N7S1","GS","60-90",3
"C14H15N1P2","PT","0-30",50
"C14H15N1P2","PT","60-90",50
"C14H15N1P2","PT","210-240",1.5
"C14H15N1P2","DMT","30-60",50
"C14H15N1P2","GS","30-60",15
"C14H15N1P2","PT","210-240",50
"C8H6O2S2P2","DMT","30-60",3
"C6H4O2N4S3","PT","120-150",15
"C6H4O2N4S3","PT","210-240",50
"C6H4O2N4S3","DMT","0-30",15
"C6H4O2N4S3","DMT","0-30",3
"C10H12O6S1","PT","0-30",50
"C10H12O6S1","GS","60-90",3
"C10H12O6S1","PT","180-210",3
"C10H12O6S1","DMT","30-60",50
"C10H12O6S1","DMT","30-60",1.5
"C10H12O6S1","PT","0-30",15
"C10H12O6S1","GS","30-60",15
"C10H12O6S1","DMT","0-30",15
"C10H12O6S1","GS","30-60",50
"C10H12O6S1","PT","180-210",50
"C10H12O6S1","DMT","0-30",3
"C10H12O6S1","GS","30-60",1.5
"C14H14O1P2","PT","60-90",3
"C14H14O1P2","PT","0-30",50
"C14H14O1P2","GS","60-90",3
"C14H14O1P2","PT","180-210",3
"C14H14O1P2","DMT","30-60",50
"C14H14O1P2","DMT","30-60",1.5
"C14H14O1P2","PT","0-30",15
"C14H14O1P2","PT","150-180",50
"C14H14O1P2","PT","120-150",15
"C14H14O1P2","GS","30-60",15
"C14H14O1P2","DMT","0-30",15
"C14H14O1P2","GS","30-60",50
"C14H14O1P2","PT","180-210",50
"C14H14O1P2","DMT","0-30",3
"C14H14O1P2","GS","30-60",1.5
"C14H14O1P2","DMT","30-60",15
"C21H8","PT","180-210",3
"C10H11N7P1","PT","120-150",50
"C6H6O2N4S3","PT","60-90",3
"C6H6O2N4S3","PT","30-60",50
"C6H6O2N4S3","DMT","30-60",3
"C6H6O2N4S3","PT","120-150",15
"C6H6O2N4S3","PT","60-90",15
"C6H6O2N4S3","PT","210-240",50
"C15H4O1P2","DMT","0-30",15
"C15H4O1P2","DMT","0-30",3
"C15H4O1P2","DMT","30-60",15
"C14H14O3S1","DMT","0-30",15
"C14H14O3S1","DMT","0-30",3
"C11H17O1N7","PT","0-30",50
"C11H17O1N7","GS","60-90",3
"C17H29O1N1","GS","60-90",3
"C5H4O1N4S4","DMT","30-60",3
"C16H8S2","PT","0-30",50
"C14H4O4N2","GS","60-90",3
"C15H20O4","PT","0-30",50
"C15H20O4","GS","60-90",3
"C15H20O4","PT","210-240",1.5
"C12H24O6","PT","120-150",1.5
"C12H24O6","PT","120-150",15
"C12H24O6","GS","60-90",3
"C12H24O6","PT","210-240",1.5
"C12H24O6","PT","180-210",3
"C12H24O6","DMT","30-60",50
"C12H24O6","GS","30-60",50
"C12H24O6","DMT","0-30",3
"C16H24O3","PT","90-120",15
"C16H24O3","PT","0-30",50
"C16H24O3","PT","60-90",50
"C16H24O3","GS","60-90",3
"C16H24O3","PT","210-240",1.5
"C16H24O3","PT","60-90",15
"C16H24O3","DMT","30-60",50
"C16H10S2","GS","30-60",3
"C16H10S2","GS","0-30",1.5
"C16H10S2","PT","120-150",1.5
"C16H10S2","PT","0-30",3
"C16H10S2","PT","30-60",50
"C16H10S2","PT","0-30",50
"C16H10S2","GS","60-90",3
"C16H10S2","PT","210-240",1.5
"C16H10S2","PT","180-210",3
"C16H10S2","GS","30-60",1.5
"C16H10S2","DMT","30-60",50
"C16H10S2","DMT","30-60",1.5
"C16H10S2","PT","0-30",15
"C16H10S2","PT","120-150",15
"C16H10S2","DMT","0-30",15
"C16H10S2","GS","30-60",50
"C16H10S2","PT","180-210",50
"C16H10S2","DMT","0-30",3
