"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"12420","C14H16O9S7",NA,"unsaturated/lignin","unsaturated/lignin",-1.8,1.1429,1.14,0.64,-9,7,-0.6429
"12421","C15H12O5N4S7",NA,"unsaturated/lignin","unsaturated/lignin",-1,1.6,0.8,0.33,-4,12,-0.2667
"12422","C19H8O12P4",NA,"condensed aromatic","condensed aromatic",0.8889,0.8421,0.42,0.63,2,18,0.1053
"12423","C15H20O6S8",NA,"unsaturated/lignin","unsaturated/lignin",-1.25,0.5333,1.33,0.4,-8,6,-0.5333
"12424","C16H12O12N2S4",NA,"unsaturated/lignin","unsaturated/lignin",0,1.625,0.75,0.75,-6,12,-0.375
"12425","C22H16O5S6",NA,"unsaturated/lignin","unsaturated/lignin",0.4815,0.2727,0.73,0.23,4,15,0.1818
"12426","C17H17O10N1S2P3",NA,"unsaturated/lignin","unsaturated/lignin",0.0833,0.5882,1,0.59,-4.5,11.5,-0.2647
"12427","C24H10O12P2",NA,"condensed aromatic","condensed aromatic",0.8125,0.5833,0.42,0.5,7,21,0.2917
"12428","C18H16O16S2",NA,"unsaturated/lignin","unsaturated/lignin",0.125,1.1111,0.89,0.89,-7,11,-0.3889
"12429","C20H15O14N3P1",NA,"unsaturated/lignin","unsaturated/lignin",0.5,1.1,0.75,0.7,-2.5,15.5,-0.125
"12430","C30H16O7S2",NA,"condensed aromatic","condensed aromatic",0.7143,0.0667,0.53,0.23,14,23,0.4667
"12431","C26H16O12S1",NA,"aromatic","aromatic",0.6316,0.3846,0.62,0.46,6,19,0.2308
"12432","C23H20O12S2",NA,"unsaturated/lignin","unsaturated/lignin",0.4,0.3478,0.87,0.52,0,14,0
"12433","C26H22O4N2S2P2",NA,"aromatic","aromatic",0.5556,-0.1538,0.85,0.15,8,18,0.3077
"12434","C23H26O10N2P2",NA,"unsaturated/lignin","unsaturated/lignin",0.2857,0,1.13,0.43,-1,13,-0.0435
"12435","C28H26O8P2",NA,"unsaturated/lignin","unsaturated/lignin",0.5,-0.3571,0.93,0.29,7,17,0.25
"12436","C22H34O12P2",NA,"aliphatic","aliphatic",-0.0714,-0.4545,1.55,0.55,-7,7,-0.3182
"12437","C32H42S2P2",NA,"unsaturated/lignin","unsaturated/lignin",0.3214,-1.1875,1.31,0,9,13,0.2812
"12438","C24H40O12S1",NA,"aliphatic","aliphatic",-0.1176,-0.5833,1.67,0.5,-8,5,-0.3333
"12439","C32H42O4P2",NA,"unsaturated/lignin","unsaturated/lignin",0.3214,-1.0625,1.31,0.12,7,13,0.2188
"12440","C28H40O11",NA,"unsaturated/lignin","unsaturated/lignin",0.1556,-0.6429,1.43,0.39,-2,9,-0.0714
"12441","C29H44O6S2",NA,"aliphatic","aliphatic",0.125,-0.9655,1.52,0.21,0,8,0
"12442","C29H46O4S1P2",NA,"aliphatic","aliphatic",0.125,-1.2414,1.59,0.14,1,8,0.0345
