"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C10H10O5S1",1,"52A","GS","30-60",1.5,3
"C10H10O5S1",1,"20A","PT","30-60",1.5,3
"C10H10O5S1",1,"10D","DMT","30-60",50,3
"C10H10O5S1",1,"23A","PT","120-150",1.5,3
"C10H10O5S1",1,"16D","PT","150-180",50,2
"C10H10O5S1",1,"5A","DMT","30-60",1.5,2
"C10H10O5S1",1,"49A","GS","30-60",1.5,3
"C10H10O5S1",1,"14D","PT","90-120",50,2
"C10H10O5S1",1,"18D","PT","210-240",50,2
"C10H10O5S1",1,"13C","PT","60-90",15,3
"C10H10O5S1",1,"11C","PT","0-30",15,3
"C11H14O4S1",1,"11B","PT","0-30",3,3
"C11H14O4S1",1,"50B","GS","60-90",3,2
"C11H14O4S1",1,"19B","PT","0-30",3,3
"C11H14O4S1",1,"46A","GS","30-60",1.5,2
"C11H14O4S1",1,"47B","GS","60-90",3,2
"C11H14O4S1",1,"2D","DMT","30-60",50,3
"C11H14O4S1",1,"8D","DMT","30-60",50,3
"C11H14O4S1",1,"34B","PT","0-30",3,3
"C11H14O4S1",1,"52A","GS","30-60",1.5,2
"C11H14O4S1",1,"10D","DMT","30-60",50,3
"C12H10O2N4",1,"33A","PT","210-240",1.5,1
"C13H22O4",1,"2D","DMT","30-60",50,2
"C13H22O4",1,"8D","DMT","30-60",50,2
"C15H30O2",1,"46B","GS","30-60",3,2
"C15H30O2",1,"16A","PT","150-180",1.5,3
"C15H30O2",1,"15A","PT","120-150",1.5,3
"C15H30O2",1,"17A","PT","180-210",1.5,2
"C15H30O2",1,"25A","PT","180-210",1.5,2
"C15H30O2",1,"12A","PT","30-60",1.5,4
"C15H30O2",1,"21C","PT","60-90",15,2
"C15H30O2",1,"46A","GS","30-60",1.5,2
"C15H30O2",1,"1C","DMT","0-30",15,1
"C15H30O2",1,"35C","PT","30-60",15,2
"C15H30O2",1,"24A","PT","150-180",1.5,3
"C15H30O2",1,"38A","PT","120-150",1.5,3
"C15H30O2",1,"35A","PT","30-60",1.5,4
"C15H30O2",1,"52B","GS","30-60",3,2
"C15H30O2",1,"39A","PT","150-180",1.5,3
"C15H30O2",1,"22A","PT","90-120",1.5,3
"C15H30O2",1,"20C","PT","30-60",15,2
"C15H30O2",1,"20A","PT","30-60",1.5,4
"C15H30O2",1,"23A","PT","120-150",1.5,3
"C15H30O2",1,"37A","PT","90-120",1.5,3
"C15H30O2",1,"49A","GS","30-60",1.5,2
"C15H30O2",1,"13C","PT","60-90",15,2
"C15H30O2",1,"27A","PT","30-60",1.5,4
"C15H30O2",1,"29A","PT","90-120",1.5,3
"C10H12O5S1",1,"46B","GS","30-60",3,3
"C10H12O5S1",1,"16A","PT","150-180",1.5,3
"C10H12O5S1",1,"45A","GS","0-30",1.5,4
"C10H12O5S1",1,"15A","PT","120-150",1.5,3
"C10H12O5S1",1,"44A","GS","60-90",1.5,4
"C10H12O5S1",1,"17A","PT","180-210",1.5,2
"C10H12O5S1",1,"13B","PT","60-90",3,4
"C10H12O5S1",1,"13A","PT","60-90",1.5,4
"C10H12O5S1",1,"11A","PT","0-30",1.5,4
"C10H12O5S1",1,"31C","PT","150-180",15,3
"C10H12O5S1",1,"11B","PT","0-30",3,3
"C10H12O5S1",1,"14B","PT","90-120",3,4
"C10H12O5S1",1,"25A","PT","180-210",1.5,2
"C10H12O5S1",1,"12D","PT","30-60",50,3
"C10H12O5S1",1,"42A","GS","0-30",1.5,4
"C10H12O5S1",1,"2B","DMT","30-60",3,1
"C10H12O5S1",1,"12A","PT","30-60",1.5,4
"C10H12O5S1",1,"28A","PT","60-90",1.5,4
"C10H12O5S1",1,"30D","PT","120-150",50,3
"C10H12O5S1",1,"26D","PT","0-30",50,3
"C10H12O5S1",1,"7A","DMT","0-30",1.5,2
"C10H12O5S1",1,"50B","GS","60-90",3,3
"C10H12O5S1",1,"33A","PT","210-240",1.5,1
"C10H12O5S1",1,"15D","PT","120-150",50,3
"C10H12O5S1",1,"42B","GS","0-30",3,2
"C10H12O5S1",1,"16B","PT","150-180",3,3
"C10H12O5S1",1,"25B","PT","180-210",3,2
"C10H12O5S1",1,"21C","PT","60-90",15,2
"C10H12O5S1",1,"19D","PT","0-30",50,3
"C10H12O5S1",1,"23D","PT","120-150",50,3
"C10H12O5S1",1,"22C","PT","90-120",15,3
"C10H12O5S1",1,"19B","PT","0-30",3,3
"C10H12O5S1",1,"21B","PT","60-90",3,4
"C10H12O5S1",1,"46A","GS","30-60",1.5,3
"C10H12O5S1",1,"47B","GS","60-90",3,3
"C10H12O5S1",1,"2D","DMT","30-60",50,3
"C10H12O5S1",1,"37C","PT","90-120",15,3
"C10H12O5S1",1,"8D","DMT","30-60",50,3
"C10H12O5S1",1,"8A","DMT","30-60",1.5,2
"C10H12O5S1",1,"19A2","PT","0-30",1.5,4
"C10H12O5S1",1,"33B","PT","210-240",3,2
