"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"5204","C17H24O10S1","Lignin","unsaturated/lignin","unsaturated/lignin",0,-0.1176,1.41,0.59,-5,6,-0.2941
"5205","C14H28O10S2","Carb","aliphatic","lipid",-0.8571,-0.2857,2,0.71,-11,1,-0.7857
"5206","C12H25O12N2P1","Carb","aliphatic","carbohydrate",-2.3333,0.4167,2.08,1,-13,2,-1.0833
"5207","C13H29O7N2S2P1","Protein","aliphatic","lipid",-1.6667,-0.3846,2.23,0.54,-11,1,-0.8462
"5208","C19H20O9N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.36,0.2105,1.05,0.47,0,11,0
"5209","C20H24O4N2S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.3,1.2,0.2,2,10,0.1
"5210","C16H24O9N2S1","AminoSugar","aliphatic","aliphatic+N",-0.1765,0.125,1.5,0.56,-6,6,-0.375
"5211","C24H20O7","Lignin","aromatic","aromatic",0.561,-0.25,0.83,0.29,8,15,0.3333
"5212","C23H21O4N2P1","Lignin","aromatic","aromatic",0.5556,-0.3043,0.91,0.17,8,15,0.3478
"5213","C17H24O12","Tannin","unsaturated/lignin","unsaturated/lignin",0,0,1.41,0.71,-6,6,-0.3529
"5214","C16H24O11N2","AminoSugar","aliphatic","aliphatic+N",-0.1765,0.25,1.5,0.69,-7,6,-0.4375
"5215","C14H29O12P1","Carb","aliphatic","lipid",-0.8571,-0.3571,2.07,0.86,-12,1,-0.8571
"5216","C15H33O7S2P1","Protein","aliphatic","lipid",-0.7647,-1,2.2,0.47,-10,0,-0.6667
"5217","C21H24O9","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2857,1.14,0.43,1,10,0.0476
"5218","C18H28O9S1","Protein","aliphatic","aliphatic",-0.04,-0.4444,1.56,0.5,-5,5,-0.2778
"5219","C14H28O14","Carb","aliphatic","carbohydrate",-0.8571,0,2,1,-13,1,-0.9286
"5220","C22H29O4S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2778,-0.8636,1.32,0.18,3,9,0.1364
"5221","C20H24O8N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.1,1.2,0.4,0,10,0
"5222","C18H29O9P1","Protein","aliphatic","aliphatic",-0.04,-0.6111,1.61,0.5,-5,5,-0.2778
"5223","C25H24O6","Lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.48,0.96,0.24,8,14,0.32
"5224","C26H28O1S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4468,-0.8462,1.08,0.04,10,13,0.3846
"5225","C13H28O13N2","Carb","aliphatic","carbohydrate",-1.6667,0.3077,2.15,1,-14,1,-1.0769
"5226","C24H25O3N2P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4872,-0.5417,1.04,0.12,8,14,0.3333
"5227","C22H28O6S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2778,-0.6364,1.27,0.27,2,9,0.0909
"5228","C18H28O11","AminoSugar","aliphatic","aliphatic",-0.04,-0.3333,1.56,0.61,-6,5,-0.3333
"5229","C14H33O8N2S1P1","Other","aliphatic","lipid",-1.3333,-0.6429,2.36,0.57,-12,0,-0.8571
"5230","C26H28O3S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4468,-0.7692,1.08,0.12,9,13,0.3462
"5231","C22H28O8","Lignin","unsaturated/lignin","unsaturated/lignin",0.2778,-0.5455,1.27,0.36,1,9,0.0455
"5232","C19H32O8S1","Protein","aliphatic","aliphatic",-0.0714,-0.7368,1.68,0.42,-5,4,-0.2632
"5233","C21H28O7N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.2258,-0.381,1.33,0.33,0,9,0
"5234","C22H32O2N2S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.1765,-0.8182,1.45,0.09,2,8,0.0909
"5235","C19H33O8P1","Protein","aliphatic","aliphatic",-0.0714,-0.8947,1.74,0.42,-5,4,-0.2632
"5236","C18H32O7N2S1","Protein","aliphatic","aliphatic+N",-0.2174,-0.5556,1.78,0.39,-6,4,-0.3333
"5237","C25H29O2N2P1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4286,-0.76,1.16,0.08,8,13,0.32
"5238","C23H32O5S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2308,-0.8696,1.39,0.22,2,8,0.087
"5239","C19H32O10","Protein","aliphatic","aliphatic",-0.0714,-0.6316,1.68,0.53,-6,4,-0.3158
"5240","C27H32O2S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4,-0.963,1.19,0.07,9,12,0.3333
"5241","C23H32O7","Lignin","unsaturated/lignin","unsaturated/lignin",0.2308,-0.7826,1.39,0.3,1,8,0.0435
"5242","C20H36O9","Protein","aliphatic","aliphatic",-0.0968,-0.9,1.8,0.45,-6,3,-0.3
"5243","C21H41O4S1P1","Lipid","aliphatic","aliphatic",-0.1176,-1.4762,1.95,0.19,-4,2,-0.1905
